depth,age,sed.AR.Data,Conc,AR
31,249,0.08325,2.1608048217,0.1798870014
34.33,289,0.08025,3.9581183925,0.317639001
37.54,329,0.07575,2.5935017691,0.196457759
40.57,369,0.0715,3.0429492224,0.2175708694
43.43,409,0.06925,2.8093429461,0.194546999
46.2,449,0.06675,2.4958312908,0.1665967387
48.87,489,0.06275,1.710724738,0.1073479773
51.38,529,0.061,2.4235149904,0.1478344144
53.82,569,0.0575,2.5954747441,0.1492397978
56.12,609,0.05675,2.2949985965,0.1302411704
58.39,649,0.0535,2.3335500572,0.1248449281
60.53,689,0.0525,2.0580189922,0.1080459971
62.63,729,0.0505,1.1327449204,0.0572036185
64.65,769,0.048,1.7299296047,0.083036621
66.57,809,0.04775,2.724806773,0.1301095234
68.48,849,0.0455,1.3430429042,0.0611084521
70.3,889,0.04475,2.2688846941,0.1015325901
72.09,929,0.0425,3.2296563059,0.137260393
73.79,969,0.04175,2.0474735511,0.0854820208
75.46,1009,0.0415,0.7727566133,0.0320693995
77.12,1049,0.039,1.3305204369,0.051890297
78.68,1089,0.03875,1.00552352,0.0389640364
80.23,1129,0.03775,0.7107872656,0.0268322193
81.74,1169,0.037,2.6512572234,0.0980965173
83.22,1209,0.0365,1.1560621892,0.0421962699
84.68,1249,0.03475,3.2637122069,0.1134139992
86.07,1289,0.03525,4.6964604108,0.1655502295
87.48,1329,0.03375,1.8613549918,0.062820731
88.83,1369,0.03425,7.0664168017,0.2420247755
90.2,1409,0.033,1.7978703944,0.059329723
91.52,1449,0.03275,1.1897257297,0.0389635176
92.83,1489,0.0325,2.4277627906,0.0789022907
94.13,1529,0.032,2.1148511813,0.0676752378
95.41,1569,0.03175,0.0785084665,0.0024926438
96.68,1609,0.0315,0.8620745889,0.0271553496
97.94,1649,0.031,0.42097731,0.0130502966
99.18,1689,0.03075,0.6564736697,0.0201865653
100.41,1729,0.03075,1.7019159966,0.0523339169
101.64,1769,0.03025,0.2469494259,0.0074702201
102.85,1809,0.03025,2.4257530377,0.0733790294
104.06,1849,0.0295,3.6867284973,0.1087584907
105.24,1889,0.03,3.429040935,0.1028712281
106.44,1929,0.0295,5.2007448896,0.1534219742
107.62,1969,0.02925,1.7021311144,0.0497873351
108.79,2009,0.0295,1.4948776863,0.0440988917
109.97,2049,0.02925,2.0168061495,0.0589915799
111.14,2089,0.02925,2.721607969,0.0796070331
112.31,2129,0.02925,3.1054070116,0.0908331551
113.48,2169,0.029,0.8547767537,0.0247885259
114.64,2209,0.029,1.2113447529,0.0351289978
115.8,2249,0.02875,1.8451845347,0.0530490554
116.95,2289,0.02925,0.9966735183,0.0291527004
118.12,2329,0.02875,1.7427970907,0.0501054164
119.27,2369,0.029,1.6631928433,0.0482325925
120.43,2409,0.0285,2.9727602712,0.0847236677
121.57,2449,0.02925,2.323426495,0.067960225
122.74,2489,0.029,1.453641335,0.0421555987
123.9,2529,0.02875,0.1776641086,0.0051078431
125.05,2569,0.02925,1.6874221414,0.0493570976
126.22,2609,0.02925,1.9539297422,0.057152445
