depth	min95%	max95%	best	accrate
329	8029	8302	8144	31
330	8061	8331	8175	62.01
331	8124	8390	8237	62.01
332	8188	8449	8299	62.01
333	8252	8508	8361	62.01
334	8316	8570	8423	62.01
335	8380	8629	8485	62.01
336	8443	8689	8547	62.01
337	8505	8747	8609	62.01
338	8568	8806	8671	62.01
339	8633	8866	8733	62.01
340	8697	8926	8795	62.01
341	8760	8985	8857	62.01
342	8823	9044	8919	62.01
343	8886	9104	8981	62.01
344	8950	9165	9043	62.01
345	9014	9224	9105	62.01
346	9077	9285	9167	62.01
347	9141	9347	9229	62.01
348	9204	9411	9291	62.01
349	9266	9473	9353	62.01
350	9329	9537	9415	62.01
351	9392	9602	9477	62.01
352	9454	9665	9539	62.01
353	9518	9729	9601	62.01
354	9580	9796	9663	62.01
355	9642	9864	9725	62.01
356	9705	9928	9787	62.01
357	9767	9992	9849	62.01
358	9830	10057	9911	62.01
359	9893	10121	9973	62.01
360	9956	10184	10035	62.01
361	10019	10250	10097	62.01
362	10082	10316	10159	62.01
363	10145	10382	10221	62.01
364	10208	10448	10283	62.01
365	10270	10515	10345	62.01
366	10331	10583	10407	62.01
367	10394	10651	10469	62.01
368	10456	10719	10531	62.01
369	10519	10786	10593	62.01
370	10579	10854	10655	62.01
371	10641	10923	10717	62.01
372	10704	10990	10779	62.01
373	10766	11059	10841	62.01
374	10827	11128	10903	62.01
375	10888	11196	10966	62.01
376	10948	11263	11028	62.01
377	11009	11331	11090	62.01
378	11070	11398	11152	62.01
379	11132	11464	11214	62.01
380	11192	11531	11276	120.69
381	11318	11638	11396	179.38
382	11496	11778	11576	179.38
383	11665	11932	11755	179.38
384	11830	12089	11934	179.38
385	11993	12258	12114	179.38
386	12152	12447	12293	179.38
387	12314	12654	12473	179.38
388	12470	12855	12652	64
389	12542	12910	12716	64
390	12614	12965	12780	64
391	12680	13022	12844	64
392	12748	13080	12908	64
393	12814	13138	12972	64
394	12882	13198	13036	64
395	12954	13257	13100	64
396	13021	13316	13164	64
397	13089	13377	13228	64
398	13156	13437	13292	64
399	13223	13499	13356	64
400	13288	13562	13420	64
401	13352	13623	13484	64
402	13417	13684	13548	64
403	13481	13745	13612	64
404	13546	13807	13676	64
405	13610	13874	13740	64
406	13675	13935	13804	64
407	13736	14005	13868	64
408	13798	14075	13932	64
409	13860	14139	13996	64
410	13923	14208	14060	64
411	13985	14272	14124	64
412	14045	14338	14188	64
413	14106	14408	14252	64
414	14165	14474	14316	64
415	14223	14542	14380	64
416	14281	14612	14444	64
417	14339	14679	14508	64
418	14396	14748	14572	64
419	14455	14815	14636	64
420	14513	14884	14700	87.62
421	14606	14969	14787	87.62
422	14698	15051	14875	87.62
423	14793	15134	14963	87.62
424	14884	15218	15050	87.62
425	14977	15305	15138	87.62
426	15065	15395	15225	87.62
427	15152	15485	15313	87.62
428	15244	15577	15401	87.62
429	15327	15667	15488	87.62
430	15414	15762	15576	87.62
431	15495	15852	15664	87.62
432	15582	15944	15751	87.62
433	15663	16035	15839	87.62
434	15743	16129	15926	87.62
435	15823	16221	16014	87.62
436	15901	16310	16102	87.62
437	15982	16405	16189	87.62
438	16057	16498	16277	87.62
439	16136	16591	16364	87.62
440	16219	16683	16452	87.62
441	16298	16777	16540	87.62
442	16375	16875	16627	87.62
443	16452	16969	16715	87.62
444	16528	17067	16803	87.62
445	16605	17164	16890	87.62
446	16681	17259	16978	87.62
447	16757	17352	17065	87.62
448	16836	17453	17153	87.62
449	16915	17554	17241	87.62
450	16992	17657	17328	87.62
451	17069	17752	17416	87.62
452	17146	17853	17503	87.62
453	17224	17952	17591	87.62
454	17299	18051	17679	43.81
455	17338	18102	17723	NA
